Country,Country Code,Indicator Name,2018,2019,2020
Low income,LIC,GDP per capita (current US$),795.9571164,810.0948534,
Liechtenstein,LIE,GDP per capita (current US$),181402.83,,
Sri Lanka,LKA,GDP per capita (current US$),4080.567125,3853.083693,
Lower middle income,LMC,GDP per capita (current US$),2091.389002,2174.435571,
Low & middle income,LMY,GDP per capita (current US$),5001.687973,5070.697597,
Lesotho,LSO,GDP per capita (current US$),1221.883763,1118.131284,
Late-demographic dividend,LTE,GDP per capita (current US$),9838.434043,9971.857112,
Lithuania,LTU,GDP per capita (current US$),19176.17652,19601.89083,
Luxembourg,LUX,GDP per capita (current US$),116654.2611,114704.5942,
Latvia,LVA,GDP per capita (current US$),17858.27998,17828.89466,
"Macao SAR, China",MAC,GDP per capita (current US$),87208.53591,84096.39631,
St. Martin (French part),MAF,GDP per capita (current US$),,,
Morocco,MAR,GDP per capita (current US$),3222.200634,3204.095003,
Monaco,MCO,GDP per capita (current US$),185829.018,,
Moldova,MDA,GDP per capita (current US$),4233.743437,4503.516985,
Madagascar,MDG,GDP per capita (current US$),527.5013261,523.3590645,
Maldives,MDV,GDP per capita (current US$),10276.93282,10626.5134,
Middle East & North Africa,MEA,GDP per capita (current US$),7943.946907,7991.092103,
Mexico,MEX,GDP per capita (current US$),9686.513783,9946.033829,
Marshall Islands,MHL,GDP per capita (current US$),3788.163594,,
Middle income,MIC,GDP per capita (current US$),5478.703541,5561.927576,
North Macedonia,MKD,GDP per capita (current US$),6088.972445,6022.216179,
Mali,MLI,GDP per capita (current US$),894.8021869,879.0080104,
Malta,MLT,GDP per capita (current US$),30437.22151,29820.60325,
Myanmar,MMR,GDP per capita (current US$),1418.177623,1407.813143,
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),3970.848245,,
Montenegro,MNE,GDP per capita (current US$),8846.056525,8908.934792,
Mongolia,MNG,GDP per capita (current US$),4134.987198,4339.843279,
Northern Mariana Islands,MNP,GDP per capita (current US$),23258.67586,,
Mozambique,MOZ,GDP per capita (current US$),503.3187272,503.5707727,
Mauritania,MRT,GDP per capita (current US$),1600.876469,1679.444873,
Mauritius,MUS,GDP per capita (current US$),11208.34382,11099.24028,
Malawi,MWI,GDP per capita (current US$),381.2589876,411.5523404,
Malaysia,MYS,GDP per capita (current US$),11377.455,11414.20698,
North America,NAC,GDP per capita (current US$),61304.64302,63343.34505,
Namibia,NAM,GDP per capita (current US$),5495.428925,4957.458222,
New Caledonia,NCL,GDP per capita (current US$),,,
Niger,NER,GDP per capita (current US$),572.4271543,553.8950504,
Nigeria,NGA,GDP per capita (current US$),2027.777979,2229.858696,
Nicaragua,NIC,GDP per capita (current US$),2020.55193,1912.903745,
Netherlands,NLD,GDP per capita (current US$),53044.53244,52331.31673,
Norway,NOR,GDP per capita (current US$),81734.46557,75419.63487,
Nepal,NPL,GDP per capita (current US$),1038.651647,1071.050761,
Nauru,NRU,GDP per capita (current US$),9762.389302,9396.981967,
New Zealand,NZL,GDP per capita (current US$),42949.93058,42084.35337,
OECD members,OED,GDP per capita (current US$),39329.58576,39482.13857,
Oman,OMN,GDP per capita (current US$),16521.18228,15343.062,
Other small states,OSS,GDP per capita (current US$),14382.79798,13777.91656,
Pakistan,PAK,GDP per capita (current US$),1482.305667,1284.702041,
Panama,PAN,GDP per capita (current US$),15592.57368,15731.01603,
Peru,PER,GDP per capita (current US$),6941.235848,6977.695784,
Philippines,PHL,GDP per capita (current US$),3252.092324,3485.084218,
Palau,PLW,GDP per capita (current US$),15660.6746,14901.98353,
Papua New Guinea,PNG,GDP per capita (current US$),2801.373997,2829.170309,
Poland,POL,GDP per capita (current US$),15468.48222,15692.50703,
Pre-demographic dividend,PRE,GDP per capita (current US$),1455.982289,1485.649585,
Puerto Rico,PRI,GDP per capita (current US$),31621.89347,32873.71927,
"Korea, Dem. People’s Rep.",PRK,GDP per capita (current US$),,,
Portugal,PRT,GDP per capita (current US$),23562.55452,23252.05852,
Paraguay,PRY,GDP per capita (current US$),5805.675616,5414.799138,
West Bank and Gaza,PSE,GDP per capita (current US$),3562.330943,,
Pacific island small states,PSS,GDP per capita (current US$),4341.143524,4264.667414,
Post-demographic dividend,PST,GDP per capita (current US$),45319.26122,45615.11518,
French Polynesia,PYF,GDP per capita (current US$),,,
Qatar,QAT,GDP per capita (current US$),65908.0669,62088.06183,
Romania,ROU,GDP per capita (current US$),12399.88934,12919.52964,
Russian Federation,RUS,GDP per capita (current US$),11370.81346,11584.99538,
Rwanda,RWA,GDP per capita (current US$),783.2871842,820.0252417,
South Asia,SAS,GDP per capita (current US$),1898.971004,1956.575921,
Saudi Arabia,SAU,GDP per capita (current US$),23338.96346,23139.79866,
Sudan,SDN,GDP per capita (current US$),623.8672524,441.5056034,
Senegal,SEN,GDP per capita (current US$),1465.591006,1446.830965,
Singapore,SGP,GDP per capita (current US$),66188.7794,65233.28244,
Solomon Islands,SLB,GDP per capita (current US$),2441.517393,2373.63247,
Sierra Leone,SLE,GDP per capita (current US$),533.9911843,527.5336344,
El Salvador,SLV,GDP per capita (current US$),4067.659449,4187.250031,
San Marino,SMR,GDP per capita (current US$),48995.142,,
Somalia,SOM,GDP per capita (current US$),,,
Serbia,SRB,GDP per capita (current US$),7252.401858,7411.836116,
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),1583.513056,1583.926069,
South Sudan,SSD,GDP per capita (current US$),,,
Sub-Saharan Africa,SSF,GDP per capita (current US$),1596.147083,1596.213739,
Small states,SST,GDP per capita (current US$),13013.75137,12615.20349,
Sao Tome and Principe,STP,GDP per capita (current US$),1953.58829,1946.643614,
Suriname,SUR,GDP per capita (current US$),6015.164607,6359.833614,
Slovak Republic,SVK,GDP per capita (current US$),19406.34753,19266.2755,
Slovenia,SVN,GDP per capita (current US$),26115.91337,25946.18219,
Sweden,SWE,GDP per capita (current US$),54589.06039,51615.02065,
Eswatini,SWZ,GDP per capita (current US$),4106.197153,3894.679807,
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),29160.10381,,
Seychelles,SYC,GDP per capita (current US$),16390.82491,17448.27029,
Syrian Arab Republic,SYR,GDP per capita (current US$),,,
Turks and Caicos Islands,TCA,GDP per capita (current US$),29554.70596,31353.32932,
Chad,TCD,GDP per capita (current US$),726.1498811,709.5403101,
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),8055.429563,8278.073975,
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),8894.629648,9017.538951,
Togo,TGO,GDP per capita (current US$),679.9727606,679.2902491,
Thailand,THA,GDP per capita (current US$),7295.475616,7806.742211,
Tajikistan,TJK,GDP per capita (current US$),826.6215305,870.7875893,
Turkmenistan,TKM,GDP per capita (current US$),6966.635411,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),8934.498183,8702.137464,
Timor-Leste,TLS,GDP per capita (current US$),1230.228191,1560.509822,
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),3975.048437,,
Tonga,TON,GDP per capita (current US$),4740.792149,4903.152903,
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),1898.971004,1956.575921,
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),1596.147083,1596.213739,
Trinidad and Tobago,TTO,GDP per capita (current US$),17129.91309,17397.98176,
Tunisia,TUN,GDP per capita (current US$),3438.789089,3317.453593,
Turkey,TUR,GDP per capita (current US$),9455.593654,9126.561346,
Tuvalu,TUV,GDP per capita (current US$),3700.744263,4059.029996,
Tanzania,TZA,GDP per capita (current US$),1060.994615,1122.12181,
Uganda,UGA,GDP per capita (current US$),770.4524533,794.3410779,
Ukraine,UKR,GDP per capita (current US$),3096.817402,3659.031312,
Upper middle income,UMC,GDP per capita (current US$),8906.203544,9013.749964,
Uruguay,URY,GDP per capita (current US$),17277.97011,16190.12696,
United States,USA,GDP per capita (current US$),62996.47129,65297.51751,
Uzbekistan,UZB,GDP per capita (current US$),1529.082864,1724.841134,
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),7361.400962,7457.509504,
"Venezuela, RB",VEN,GDP per capita (current US$),,,
British Virgin Islands,VGB,GDP per capita (current US$),,,
Virgin Islands (U.S.),VIR,GDP per capita (current US$),,,
Vietnam,VNM,GDP per capita (current US$),2566.59695,2715.276036,
Vanuatu,VUT,GDP per capita (current US$),3125.257989,3115.35862,
World,WLD,GDP per capita (current US$),11385.55287,11433.21572,
Samoa,WSM,GDP per capita (current US$),4188.528346,4324.014018,
Kosovo,XKX,GDP per capita (current US$),4419.914327,4417.524062,
"Yemen, Rep.",YEM,GDP per capita (current US$),824.1176287,774.3344898,
South Africa,ZAF,GDP per capita (current US$),6374.028196,6001.400814,
Zambia,ZMB,GDP per capita (current US$),1516.390661,1305.063254,
Zimbabwe,ZWE,GDP per capita (current US$),1683.740577,1463.98591,
