,Country,Country Code,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol Consumption per Capita (liter),equal_or_lower_than_5.41?
83,Vietnam,VNM,5.103,0.715,1.365,0.7020000000000001,0.618,0.177,0.079,8.66,True
84,Indonesia,IDN,5.093,0.899,1.215,0.522,0.5379999999999999,0.484,0.018000000000000002,0.57,True
85,Bhutan,BTN,5.082,0.7959999999999999,1.335,0.527,0.541,0.364,0.171,0.43,True
86,Somalia,SOM,4.982,0.0,0.7120000000000001,0.115,0.674,0.23800000000000002,0.282,0.009000000000000001,True
87,Cameroon,CMR,4.975,0.535,0.8909999999999999,0.182,0.45399999999999996,0.183,0.043,5.65,True
88,Bulgaria,BGR,4.933,1.054,1.515,0.7120000000000001,0.359,0.064,0.009000000000000001,12.65,True
89,Nepal,NPL,4.88,0.425,1.228,0.539,0.526,0.302,0.078,2.05,True
90,Gabon,GAB,4.758,1.036,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.032,0.052000000000000005,8.74,True
91,South Africa,ZAF,4.724,0.94,1.41,0.33,0.516,0.10300000000000001,0.055999999999999994,9.52,True
92,Ghana,GHA,4.657,0.5920000000000001,0.8959999999999999,0.337,0.499,0.212,0.028999999999999998,2.75,True
93,Senegal,SEN,4.631,0.429,1.117,0.433,0.406,0.138,0.08199999999999999,0.76,True
94,Tunisia,TUN,4.592,0.9,0.9059999999999999,0.69,0.271,0.04,0.063,2.12,True
95,Albania,ALB,4.586,0.9159999999999999,0.8170000000000001,0.79,0.419,0.149,0.032,7.17,True
96,Sierra Leone,SLE,4.571000000000001,0.256,0.813,0.0,0.355,0.23800000000000002,0.053,5.7,True
97,Bangladesh,BGD,4.5,0.532,0.85,0.579,0.58,0.153,0.14400000000000002,0.019,True
98,Sri Lanka,LKA,4.471,0.9179999999999999,1.314,0.672,0.585,0.307,0.05,4.1,True
99,Iraq,IRQ,4.456,1.01,0.971,0.536,0.304,0.14800000000000002,0.095,0.39,True
100,Mali,MLI,4.447,0.37,1.2329999999999999,0.152,0.36700000000000005,0.139,0.055999999999999994,1.28,True
101,Namibia,NAM,4.441,0.8740000000000001,1.281,0.365,0.519,0.051,0.064,5.43,True
