Country,con_code,Score,GDP,social,life_expectancy,freedom,Generosity,corruption,alcohol_consumption,beer_servings,spirit_servings,wine_servings
Mauritania,MRT,4.356,1600.876469,1.245,0.292,0.129,0.134,0.093,0.036,0,0,0
Ethiopia,ETH,4.35,771.5238139,0.95,0.391,0.452,0.22,0.146,2.36,20,3,0
Georgia,GEO,4.34,4722.787783,0.592,0.643,0.375,0.038,0.215,8.25,52,100,149
Armenia,ARM,4.321,4220.490277,0.99,0.666,0.26,0.077,0.028,5.55,21,179,11
Myanmar,MMR,4.308,1418.177623,1.174,0.429,0.58,0.598,0.178,5.12,5,1,0
Chad,TCD,4.301,726.1498811,0.907,0.053,0.189,0.181,0.06,1.37,15,1,1
India,IND,4.19,2005.863005,0.747,0.485,0.539,0.172,0.093,5.54,9,114,0
Niger,NER,4.166,572.4271543,0.867,0.221,0.39,0.175,0.099,0.67,3,2,1
Uganda,UGA,4.161,770.4524533,1.09,0.237,0.45,0.259,0.061,15.09,45,9,0
Benin,BEN,4.141,1240.829464,0.372,0.24,0.44,0.163,0.067,2.81,34,4,13
Sudan,SDN,4.139,623.8672524,1.24,0.312,0.016,0.134,0.082,0.51,8,13,0
Ukraine,UKR,4.103,3096.817402,1.413,0.609,0.163,0.187,0.011,8.32,206,237,45
Togo,TGO,3.999,679.9727606,0.474,0.253,0.434,0.158,0.101,2.46,36,2,19
Guinea,GIN,3.964,878.5996133,0.792,0.211,0.394,0.185,0.094,1.11,9,0,2
Lesotho,LSO,3.808,1221.883763,1.215,0.079,0.423,0.116,0.112,4.59,82,29,0
Angola,AGO,3.795,3289.646664,1.125,0.269,0,0.079,0.061,6.94,217,57,45
Madagascar,MDG,3.774,527.5013261,0.908,0.402,0.221,0.155,0.049,1.97,26,15,4
Zimbabwe,ZWE,3.692,1683.740577,1.094,0.248,0.406,0.132,0.099,4.67,64,18,4
Afghanistan,AFG,3.632,493.7504181,0.537,0.255,0.085,0.191,0.036,0.21,0,0,0
Botswana,BWA,3.59,8279.601739,1.174,0.417,0.557,0.042,0.092,6.59,173,35,35
Malawi,MWI,3.587,381.2589876,0.541,0.306,0.531,0.21,0.08,3.63,8,11,1
Haiti,HTI,3.582,1435.351756,0.714,0.289,0.025,0.392,0.104,2.73,1,326,1
Liberia,LBR,3.495,677.3221785,0.858,0.267,0.419,0.206,0.03,6.12,19,152,2
Rwanda,RWA,3.408,783.2871842,0.896,0.4,0.636,0.2,0.444,8.95,43,2,0
Tanzania,TZA,3.303,1060.994615,0.991,0.381,0.481,0.27,0.097,11.27,36,6,1
Central African Republic,CAF,3.083,475.9536099,0,0.01,0.305,0.218,0.038,2.38,17,2,1
Burundi,BDI,2.905,271.7520444,0.627,0.145,0.065,0.149,0.076,7.19,88,0,0
